id,quote,season,episode
1,"Mmm... donuts.",1,1
2,"D'oh!",1,1
3,"Why you little!",1,2
4,"Stupid Flanders.",1,2
5,"Mmm... forbidden donut.",1,3
6,"I'm normally not a praying man, but if you're up there, please save me, Superman!",1,3
7,"When I held that gun in my hand, I felt a surge of power... like God must feel when he's holding a gun.",1,4
8,"To alcohol! The cause of, and solution to, all of life's problems.",1,4
9,"Just because I don't care doesn't mean I don't understand.",1,5
10,"Kids, you tried your best and you failed miserably. The lesson is, never try.",1,5
11,"I'm in no condition to drive. Wait, I shouldn't listen to myself, I'm drunk!",1,6
12,"If something's hard to do, then it's not worth doing.",1,6
13,"I want to share something with you: The three little sentences that will get you through life. Number 1: Cover for me. Number 2: Oh, good idea, Boss! Number 3: It was like that when I got here.",1,7
14,"Facts are meaningless. You could use facts to prove anything that's even remotely true.",1,7
15,"What's the point of going out? We're just going to wind up back here anyway.",1,8
16,"That's it! You people have stood in my way long enough. I'm going to clown college!",1,8
17,"You'll have to speak up, I'm wearing a towel.",1,9
18,"Aw, twenty dollars? I wanted a peanut!",1,9
19,"Son, when you participate in sporting events, it's not whether you win or lose, it's how drunk you get.",1,10
20,"I've learned that life is one crushing defeat after another until you just wish Flanders was dead.",1,10
21,"Life is just one disappointment after another until you just die.",2,1
22,"Trying is the first step towards failure.",2,1
23,"Donuts. Is there anything they can't do?",2,2
24,"When will I learn? The answers to life's problems aren't at the bottom of a bottle, they're on TV!",2,2
25,"I'm going to the back seat of my car with the woman I love, and I won't be back for ten minutes!",2,3
26,"Television! Teacher, mother, secret lover.",2,3
27,"If he's so smart, how come he's dead?",2,4
28,"Operator! Give me the number for 911!",2,4
29,"All right, brain, I don't like you and you don't like me, so let's just do this and I'll get back to killing you with beer.",2,5
30,"I'm a technical writer. I make boring instruction manuals sound interesting.",2,5
31,"It takes two to lie: one to lie and one to listen.",2,6
32,"Ah, beer, my one weakness. My Achilles heel, if you will.",2,6
33,"Just because I don't care doesn't mean I'm not listening.",2,7
34,"I'm not normally a religious man, but if you're up there, save me, Superman!",2,7
35,"Marge, I can't wear a pink shirt to work. Everybody wears white shirts. I'm not popular enough to be different.",2,8
36,"I'm a rage-aholic! I just can't live without rage-ahol!",2,8
37,"Dear Lord, the gods have been good to me. As an offering, I present these milk and cookies. If you wish me to eat them instead, give me no sign whatsoever... Thy will be done.",2,9
38,"Lisa, vampires are make-believe, like elves, gremlins, and Eskimos.",2,9
39,"Oh, so they have the internet on computers now!",2,10
40,"Please don't eat me. I have a wife and kids. Eat them!",2,10
41,"Dad, what's a Muppet? Well, it's not quite a mop and it's not quite a puppet... but man! So to answer your question: I don't know.",3,1
42,"Marge, you know it's rude to talk when my mouth is full.",3,1
43,"My beer! You never had a chance to become my urine!",3,2
44,"Oh, people can come up with statistics to prove anything. Fourteen percent of people know that.",3,2
45,"Marge, I agree with you – in theory. In theory, communism works. In theory.",3,3
46,"I saw this movie about a bus that had to SPEED around a city, keeping its SPEED over fifty, and if its SPEED dropped, it would explode! I think it was called 'The Bus That Couldn't Slow Down'.",3,3
47,"Lisa, if you don't like your job, you don't strike. You just go in every day and do it really half-assed. That's the American way.",3,4
48,"Marriage is like a coffin and each kid is another nail.",3,4
49,"Homer no function beer well without.",3,5
50,"I'm still mad at you for running over my sunglasses.",3,5
51,"Son, a woman is like a beer. They look good, they smell good, and you'd step over your own mother just to get one!",3,6
52,"Son, when you participate in sporting events, it's not whether you win or lose, it's how drunk you get.",3,6
53,"Don't let Krusty's death get you down, boy. People die all the time, just like that. Why, you could wake up dead tomorrow! Well, good night.",3,7
54,"Kids, you tried your best and you failed miserably. The lesson is: never try.",3,7
55,"Weaseling out of things is important to learn. It's what separates us from the animals... except the weasel.",3,8
